Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
445,Al0.5HfNbTaTiZr,"Al9,4-Hf18,0-Nb17,6-Ta17,6-Ti18,3-Zr19,1",Refractario,Aleacion por arco al vacio,BCC,BCC,9.3,396,97,1302,N/A,46,08-nov-14,https://doi.org/10.1016/j.jallcom.2014.11.064
446,Al0.75HfNbTaTiZr,"Al12,5-Hf16,9-Nb17,4-Ta17,6-Ti17,6-Zr18,2",Refractario,Aleacion por arco al vacio,BCC,BCC,9.3,427,102,1415,2050,30,08-nov-14,https://doi.org/10.1016/j.jallcom.2014.11.064
447,AlHfNbTaTiZr,"Al16,2-Hf16,4-Nb16,9-Ta16,4-Ti17,4-Zr16,6",Refractario,Aleacion por arco al vacio,BCC + Im,BCC+IM,8.6,441,103,1489,1900,21,08-nov-14,https://doi.org/10.1016/j.jallcom.2014.11.064
448,HfNbTaTiZr,"HF20,8-Nb18,9-Ta20,2-Ti20,2-Zr19,9",Refractario,Aleacion por arco al vacio,BCC,BCC,9.7,295,55,1073,N/A,50,08-nov-14,https://doi.org/10.1016/j.jallcom.2014.11.064
449,Al0.25MoNbTiV,Al0.25-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,BCC,7.1,460,164,1250,N/A,13,06-feb-14,https://doi.org/10.3390/e16020870
450,Al0.5MoNbTiV,Al0.5-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,BCC,6.8,487,158,1625,N/A,11,06-feb-14,https://doi.org/10.3390/e16020870
451,Al0.75MoNbTiV,Al0.75-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,BCC,6.6,517,154,1260,N/A,8,06-feb-14,https://doi.org/10.3390/e16020870
452,AlMoNbTiV,Al-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,BCC,6.4,537,150,1375,N/A,3,06-feb-14,https://doi.org/10.3390/e16020870
453,MoNbTiV,Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,BCC,7.3,441,170,1200,N/A,26,06-feb-14,https://doi.org/10.3390/e16020870
454,Al0.25NbTaTiV,Al0.25-Nb-Ta-Ti-V,Refractario,Fusion por arco ,BCC,BCC,8.8,N/A,92,1330,N/A,N/A,20-may-12,https://doi.org/10.1016/j.proeng.2012.03.043
455,Al0.5NbTaTiV,Al0.5-Nb-Ta-Ti-V,Refractario,Fusion por arco ,BCC,BCC,8.5,N/A,97,1014,N/A,N/A,20-may-12,https://doi.org/10.1016/j.proeng.2012.03.043
456,AlNbTaTiV,Al-Nb-Ta-Ti-V,Refractario,Fusion por arco ,BCC,BCC,7.9,N/A,101,993,N/A,N/A,20-may-12,https://doi.org/10.1016/j.proeng.2012.03.043
457,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h,BCC,BCC,5.5,448,105,1020,1318,5,30-nov-14,https://doi.org/10.1016/j.matlet.2014.11.162
458,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 600°C,BCC,BCC,5.5,N/A,N/A,810,1050,12,30-nov-14,https://doi.org/10.1016/j.matlet.2014.11.162
459,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 800°C,BCC,BCC,5.5,N/A,N/A,685,N/A,N/A,30-nov-14,https://doi.org/10.1016/j.matlet.2014.11.162
460,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 1000°C,BCC,BCC,5.5,N/A,N/A,158,N/A,N/A,30-nov-14,https://doi.org/10.1016/j.matlet.2014.11.162
461,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion ,BCC,BCC,8.1,388,128,1170,1463,29.6,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
462,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 573 K por 600 s,BCC,BCC,8.1,392,128,1120,1376,30,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
463,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 773 K por 600 s,BCC,BCC,8.1,390,128,1253,1393,38,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
464,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 973 K por 600 s,BCC,BCC,8.1,394,128,1140,1463,29.7,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
465,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 1173 K por 600 s,BCC + V2M,BCC+IM,8.1,388,128,1157,1468,39.6,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
466,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr20,Refractario,Fusion por induccion ,BCC + L1 + L2,BCC+IM,8.2,464,112,1375,2130,2.8,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
467,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr21,Refractario,Fusion por induccion + recocido 573 K por 600 s,BCC + L1 + L2,BCC+IM,8.2,466,112,1420,1885,4.2,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
468,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr22,Refractario,Fusion por induccion + recocido 773 K por 600 s,BCC + L1 + L2,BCC+IM,8.2,479,112,1457,1908,2.2,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
469,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr23,Refractario,Fusion por induccion + recocido 973 K por 600 s,BCC + L1 + L2,BCC+IM,8.2,489,112,1332,1726,1.4,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
470,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr24,Refractario,Fusion por induccion + recocido 1173 K por 600 s,BCC + L1 + L2,BCC+IM,8.2,459,112,1328,1884,4.5,07-jul-14,https://doi.org/10.1016/j.ijrmhm.2014.07.009
471,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio ,BCC1 + BCC2 + FCC,BCC+FCC,8,540,N/A,1595,2046,5,09-sept-11,https://doi.org/10.1016/j.msea.2011.09.033
472,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1073 K,BCC1 + BCC2 + FCC,BCC+FCC,8,N/A,N/A,983,1100,5.5,09-sept-11,https://doi.org/10.1016/j.msea.2011.09.033
473,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1273 K,BCC1 + BCC2 + FCC,BCC+FCC,8,N/A,N/A,546,630,N/A,09-sept-11,https://doi.org/10.1016/j.msea.2011.09.033
474,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1473 K,BCC1 + BCC2 + FCC,BCC+FCC,8,N/A,N/A,170,190,N/A,09-sept-11,https://doi.org/10.1016/j.msea.2011.09.033
475,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC,BCC,6.52,335,N/A,1105,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
476,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC,BCC,6.52,N/A,N/A,8347,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
477,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC,BCC,6.52,N/A,N/A,187,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
478,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC,BCC,6.52,310,N/A,58,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
479,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC,BCC,6.34,304,N/A,918,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
480,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC,BCC,6.34,N/A,N/A,571,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
481,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC,BCC,6.34,N/A,N/A,240,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
482,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC,BCC,6.34,302,N/A,72,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
483,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC + Laves,BCC+IM,6.67,418,N/A,1260,N/A,6,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
484,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC + Laves,BCC+IM,6.67,N/A,N/A,1035,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
485,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC + Laves,BCC+IM,6.67,N/A,N/A,300,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
486,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC + Laves,BCC+IM,6.67,396,N/A,115,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
487,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa,BCC + Laves,BCC+IM,6.57,481,N/A,1290,N/A,3,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
488,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 873 K,BCC + Laves,BCC+IM,6.57,N/A,N/A,1230,N/A,>10,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
489,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1073 K,BCC + Laves,BCC+IM,6.57,N/A,N/A,615,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
490,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC + Laves,BCC+IM,6.57,449,N/A,259,N/A,>50,06-dic-12,https://doi.org/10.1016/j.msea.2012.12.018
491,Hf0.5Mo0.5NbTiZrC0.1,Hf0.5-Mo0.5-NbTi-Zr-C0.1,Refractario,Fusion por arco,BCC + lm,BCC+IM,7.8,N/A,N/A,1183,2139,38,24-sept-15,https://doi.org/10.1016/j.intermet.2015.09.011
492,Hf0.5Mo0.5NbTiZrC0.3,Hf0.5-Mo0.5-Nb-Ti-Zr-C0.3,Refractario,Fusion por arco,BCC + lm,BCC+IM,7.7,N/A,N/A,1201,1965,33,24-sept-15,https://doi.org/10.1016/j.intermet.2015.09.011
493,HfMo0.25NbTaTiZr,Hf-Mo0.25-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,BCC,9.9,395,96,1112,N/A,50,27-mar-16,https://doi.org/10.1016/j.matlet.2016.03.133
494,HfMo0.5NbTaTiZr,Hf-Mo0.5-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,BCC,10.0,480,102,1317,N/A,50,27-mar-16,https://doi.org/10.1016/j.matlet.2016.03.133
495,HfMo0.75NbTaTiZr,Hf-Mo0.75-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,BCC,10.0,492,109,1373,N/A,50,27-mar-16,https://doi.org/10.1016/j.matlet.2016.03.133
496,HfMoNbTaTiZr,Hf-Mo-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,BCC,10.0,505,115,1512,N/A,12,27-mar-16,https://doi.org/10.1016/j.matlet.2016.03.133
497,HfNbTaTiZr,Hf-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,BCC,9.9,335,85,1015,N/A,50,27-mar-16,https://doi.org/10.1016/j.matlet.2016.03.133
498,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio,BCC,BCC,10.2,542,155,1600,N/A,4,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
499,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 800°C,BCC,BCC,10.3,N/A,N/A,1045,N/A,19,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
500,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 1000°C,BCC,BCC,10.4,N/A,N/A,855,N/A,30,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
501,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 1200°C,BCC,BCC,10.5,N/A,N/A,404,N/A,30,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
502,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio,BCC,BCC,10.0,505,147,1512,N/A,12,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
503,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 800°C,BCC,BCC,10.1,N/A,N/A,1007,N/A,23,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
504,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 1000°C,BCC,BCC,10.2,N/A,N/A,814,N/A,30,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
505,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 1200°C,BCC,BCC,10.3,N/A,N/A,556,N/A,30,27-mar-15,https://doi.org/10.1016/j.intermet.2015.03.013
506,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h,BCC,BCC,8.7,N/A,139,1575,N/A,9,06-may-15,https://doi.org/10.1016/j.matdes.2015.05.019
507,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 800°C,BCC,BCC,8.7,N/A,N/A,825,N/A,50,06-may-15,https://doi.org/10.1016/j.matdes.2015.05.019
508,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 1000°C,BCC,BCC,8.7,N/A,N/A,635,N/A,50,06-may-15,https://doi.org/10.1016/j.matdes.2015.05.019
509,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h + estudio 1200°C,BCC,BCC,8.7,N/A,N/A,187,N/A,50,06-may-15,https://doi.org/10.1016/j.matdes.2015.05.019
510,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,2",Refractario,Levitación en crisol frío fusión en atmósfera de argón,BCC + Silide,BCC+IM,8.6,490,N/A,1399,N/A,10.9,17-mar-16,https://doi.org/10.1016/j.matlet.2016.03.092
511,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,3",Refractario,Levitación en crisol frío fusión en atmósfera de argón + Ensayo a 800 °C,BCC + Silide,BCC+IM,8.6,N/A,N/A,875,N/A,50,17-mar-16,https://doi.org/10.1016/j.matlet.2016.03.092
512,HfNbSi0.5TiV,"Hf22,2-Nb22,2-Ti22,2-V22,2-Si11,4",Refractario,Levitación en crisol frío fusión en atmósfera de argón + Ensayo a 1000 °C,BCC + Silide,BCC+IM,8.6,N/A,N/A,240,N/A,50,17-mar-16,https://doi.org/10.1016/j.matlet.2016.03.092
513,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco ,BCC,BCC,11.1,362,109,1200,1920,34,08-ene-16,https://doi.org/10.1016/j.actamat.2016.01.018
514,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 6 h,BCC,BCC,11.1,490,N/A,1500,2050,7,08-ene-16,https://doi.org/10.1016/j.actamat.2016.01.018
515,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 1 dia,BCC,BCC,11.1,570,N/A,2290,2290,6,08-ene-16,https://doi.org/10.1016/j.actamat.2016.01.018
516,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 4 dia,BCC,BCC,11.1,550,N/A,1920,2150,6.3,08-ene-16,https://doi.org/10.1016/j.actamat.2016.01.018
517,TaNbHfZr,Ta-Nb-Hf-Zr,Refractario,fusion por arco + homogenizado 1800°C por 8 dia,BCC,BCC,11.1,535,N/A,2100,2080,11,08-ene-16,https://doi.org/10.1016/j.actamat.2016.01.018
518,Hf0.5Nb0.5Ta0.5Ti1.5Zr,Hf0.5-Nb0.5-Ta0.5-Ti1.5-Zr,Refractario,Fusion por arco,BCC,BCC,8.1,301,107,903,990,19,18-oct-16,https://doi.org/10.1063/1.4966659
519,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio,BCC,BCC,9.9,390,111,929,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
520,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 600°C,BCC,BCC,9.9,N/A,N/A,675,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
521,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 800°C,BCC,BCC,9.9,N/A,N/A,535,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
522,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1000°C,BCC,BCC,9.9,N/A,N/A,295,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
523,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1200°C,BCC,BCC,9.9,N/A,N/A,92,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
524,TaNbHfZrTi,"Ta19,68-Nb18,93-Hf20,46-Zr21,23-Ti19,7",Refractario,Fusion por arco al vacio + estudio 1400°C,BCC,BCC,9.9,N/A,N/A,790,N/A,50,28-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.171
525,HfNbTiZr,Hf-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1573 K por 6 h,BCC,BCC,8.4,N/A,92,879,969,15,21-may-14,https://doi.org/10.1016/j.matlet.2014.05.134
526,MoNbTaV,Mo-Nb-Ta-V,Refractario,Fusion por arco,BCC,BCC,10.7,504,187,1525,2400,21,13-may-16, https://doi.org/10.3390/e18050189
527,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio ,BCC,BCC,12.4,536,232,1246,1270,1.7,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
528,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 600 °C,BCC,BCC,12.4,N/A,N/A,862,N/A,13,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
529,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 800 °C,BCC,BCC,12.4,N/A,N/A,846,N/A,17,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
530,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1000 °C,BCC,BCC,12.4,N/A,N/A,842,N/A,19,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
531,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1200 °C,BCC,BCC,12.4,N/A,N/A,735,N/A,7.5,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
532,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1400 °C,BCC,BCC,12.4,N/A,N/A,656,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
533,MoNbTaVW,Mo-Nb-Ta-V-W,Refractario,Fusion por arco al vacio + estudio a 1600 °C,BCC,BCC,12.4,N/A,N/A,477,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
534,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio ,BCC,BCC,13.8,454,258,1058,1211,2.6,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
535,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 600 °C,BCC,BCC,13.8,N/A,N/A,561,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
536,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 800 °C,BCC,BCC,13.8,N/A,N/A,552,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
537,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1000 °C,BCC,BCC,13.8,N/A,N/A,548,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
538,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1200 °C,BCC,BCC,13.8,N/A,N/A,506,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
539,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1400 °C,BCC,BCC,13.8,N/A,N/A,421,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
540,MoNbTaW,Mo-Nb-Ta-W,Refractario,Fusion por arco al vacio + estudio a 1600 °C,BCC,BCC,13.8,N/A,N/A,405,N/A,40,20-ene-11,https://doi.org/10.1016/j.intermet.2011.01.004
541,MoNbTiV0.25Zr,Mo-Nb-Ti-V0.25-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.3,N/A,153,1776,3893,30,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
542,MoNbTiV0.50Zr,Mo-Nb-Ti-V0.50-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.2,N/A,152,1647,3307,28,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
543,MoNbTiV0.75Zr,Mo-Nb-Ti-V0.75-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.2,N/A,150,1708,3929,29,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
544,MoNbTiV1.0Zr,Mo-Nb-Ti-V1.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.1,N/A,149,1786,3828,26,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
545,MoNbTiV1.5Zr,Mo-Nb-Ti-V1.5-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.1,N/A,147,1735,3300,20,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
546,MoNbTiV2.0Zr,Mo-Nb-Ti-V2.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.0,N/A,146,1538,3176,23,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
547,MoNbTiV3.0Zr,Mo-Nb-Ti-V3.0-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,6.9,N/A,143,1418,2508,24,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
548,MoNbTiZr,Mo-Nb-Ti-Zr,Refractario,Fusion mediante mnetodo Bridgman,BCC,BCC,7.3,N/A,155,1592,3450,34,10-jul-12,https://doi.org/10.1007/s11837-012-0366-5
549,NbTaVW,Nb-Ta-V-W,Refractario,Fusion por arco al vacio,BCC,BCC,12.9,492,208,1530,N/A,12,25-jul-16,https://doi.org/10.1016/j.msea.2016.07.102
550,NbTaTiVW,Nb-Ta-Ti-V-W,Refractario,Fusion por arco al vacio,BCC+HCP,BCC+HCP,11.1,447,N/A,1420,N/A,20,25-jul-16,https://doi.org/10.1016/j.msea.2016.07.102
551,CoFeNiV,Co-Fe-Ni-V,HEA,Fusion por arco al vacio,FCC,FCC,7.8,238,187,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
552,CoFeMo0.2NiV,Co-Fe-Mo0.2-Ni-V,HEA,Fusion por arco al vacio,FCC + CoMo2Ni,FCC+IM,8.0,267,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
553,CoFeMo0.4NiV,Co-Fe-Mo0.4-Ni-V,HEA,Fusion por arco al vacio,FCC + CoMo2Ni,FCC+IM,8.1,402,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
554,CoFeMo0.6NiV,Co-Fe-Mo0.6-Ni-V,HEA,Fusion por arco al vacio,FCC + CoMo2Ni,FCC+IM,8.2,557,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
